Country,Starting_population_1950,Population_increase_millions_since_1950-2018,Total_population_2018
Macao,"117,160.00 Million",1.37 Million,"1,487,346.00 Million"
Monaco,"1,980,530.00 Million",5.50 Million,"7,481,563.00 Million"
Singapore,"196,852.00 Million",0.45 Million,"650,996.00 Million"
Hong Kong,"19,755.00 Million",0.02 Million,"37,050.00 Million"
Bahrain,"1,006,712.00 Million",4.81 Million,"5,814,543.00 Million"
