Country,Starting_GDP_1950,GDP_increase_since_1950_2018,Total_GDP_2018
Macao,Data not available USD,Data not available USD,Data not available USD
Monaco,Data not available USD,Data not available USD,Data not available USD
Singapore,3572.0 USD,64830.34 USD,68402.34 USD
Hong Kong,4082.0 USD,46757.37 USD,50839.37 USD
Bahrain,3354.0 USD,36144.766 USD,39498.766 USD
