Country,Starting_GDP_1950,GDP_increase_since_1950_2018,Total_GDP_2018
Qatar,48436.0,105328.17000000001,153764.17 USD
Norway,8655.0,75925.13,84580.13 USD
United Arab Emirates,25182.0,51215.82000000001,76397.82 USD
Singapore,3572.0,64830.34,68402.34 USD
Kuwait,46031.0,19489.739999999998,65520.74 USD
